feature,mutual_info,chi_squared,f_test,rf_importance
ArgUrlRatio,0.7431191222619213,2393.4684091919767,2497.6847497790095,0.08882475341400901
domainUrlRatio,0.7135381911418821,563.7799437589625,2228.6838220855384,0.06898254889997578
argPathRatio,0.7498776587738334,1264.5647476427393,2058.4286842570004,0.06104662798035773
NumberofDotsinURL,0.35999922426493747,373.1989123000868,1798.3739556913463,0.0655468733511628
SymbolCount_Domain,0.30197807329479964,457.7180735315183,2812.011116094447,0.05732370313300858
NumberRate_Extension,0.5492230902844906,1133.42125960953,1833.8090442420464,0.03834537358676681
CharacterContinuityRate,0.6512807843544901,269.6218941797783,1590.574753689658,0.0559454224625334
Entropy_Domain,1.0713998118608268,131.78852869053895,1053.55352912482,0.05847992855060972
SymbolCount_FileName,0.29028226580131644,981.5334444893542,2099.870822373834,0.04491160863408201
domainlength,0.3429341851923655,103.87847722882682,1558.3417918848324,0.06307442571620475
spcharUrl,0.17963216523886683,309.33527315668397,1226.8589500327164,0.06189442686715364
NumberRate_URL,0.6864181553573541,308.0877825675199,664.4240043956768,0.05409075333630222
avgdomaintokenlen,0.4530169746070918,156.35102102264636,1088.4530944795376,0.05526894360954922
NumberRate_FileName,0.6453403667718112,457.8994243532654,405.58671332704,0.04054043764142667
avgpathtokenlen,0.5220197957699071,45.03676184214622,722.1607438865142,0.06139281953564793
longdomaintokenlen,0.19721250244655142,171.92566509555544,976.6731627899574,0.04077401267788157
Domain_LongestWordLength,0.1936812107695931,156.24819929606906,531.4243463506187,0.05086281272342861
Arguments_LongestWordLength,0.28690090322351836,91.7634889507344,707.16512737914,0.03269452787989952
